freq_Hz,on_axis_dB,listening_window_dB,early_reflections_dB,sound_power_dB,DI_dB,PIR_dB
200.000,0.0057,-0.0039,-0.0545,-0.0302,0.0359,-0.0122
201.854,0.0059,-0.0037,-0.0549,-0.0303,0.0362,-0.0122
203.726,0.0061,-0.0036,-0.0552,-0.0304,0.0366,-0.0121
205.615,0.0064,-0.0035,-0.0556,-0.0306,0.0369,-0.0121
207.521,0.0066,-0.0033,-0.0560,-0.0307,0.0373,-0.0120
209.445,0.0068,-0.0032,-0.0563,-0.0308,0.0377,-0.0120
211.387,0.0071,-0.0030,-0.0567,-0.0309,0.0380,-0.0119
213.347,0.0074,-0.0029,-0.0571,-0.0311,0.0384,-0.0118
215.325,0.0076,-0.0027,-0.0575,-0.0312,0.0388,-0.0117
217.321,0.0079,-0.0025,-0.0579,-0.0313,0.0392,-0.0116
219.336,0.0082,-0.0023,-0.0583,-0.0314,0.0397,-0.0116
221.370,0.0085,-0.0021,-0.0587,-0.0315,0.0401,-0.0115
223.422,0.0089,-0.0019,-0.0591,-0.0317,0.0405,-0.0114
225.494,0.0092,-0.0017,-0.0595,-0.0318,0.0410,-0.0112
227.584,0.0095,-0.0015,-0.0600,-0.0319,0.0414,-0.0111
229.694,0.0099,-0.0013,-0.0604,-0.0320,0.0419,-0.0110
231.824,0.0103,-0.0010,-0.0608,-0.0321,0.0423,-0.0109
233.973,0.0106,-0.0008,-0.0612,-0.0322,0.0428,-0.0107
236.143,0.0110,-0.0005,-0.0617,-0.0323,0.0433,-0.0106
238.332,0.0115,-0.0002,-0.0621,-0.0324,0.0438,-0.0104
240.542,0.0119,0.0001,-0.0626,-0.0325,0.0444,-0.0102
242.772,0.0123,0.0004,-0.0630,-0.0326,0.0449,-0.0101
245.023,0.0128,0.0007,-0.0635,-0.0327,0.0454,-0.0099
247.294,0.0133,0.0010,-0.0639,-0.0327,0.0460,-0.0097
249.587,0.0138,0.0014,-0.0644,-0.0328,0.0466,-0.0095
251.901,0.0143,0.0017,-0.0649,-0.0329,0.0472,-0.0092
254.237,0.0148,0.0021,-0.0653,-0.0329,0.0478,-0.0090
256.594,0.0154,0.0025,-0.0658,-0.0330,0.0484,-0.0087
258.973,0.0160,0.0029,-0.0663,-0.0330,0.0490,-0.0085
261.374,0.0166,0.0033,-0.0668,-0.0331,0.0496,-0.0082
263.797,0.0172,0.0038,-0.0672,-0.0331,0.0503,-0.0079
266.243,0.0178,0.0042,-0.0677,-0.0332,0.0510,-0.0076
268.712,0.0185,0.0047,-0.0682,-0.0332,0.0517,-0.0073
271.203,0.0192,0.0052,-0.0687,-0.0332,0.0524,-0.0069
273.717,0.0199,0.0058,-0.0692,-0.0332,0.0531,-0.0066
276.255,0.0206,0.0063,-0.0697,-0.0332,0.0538,-0.0062
278.817,0.0214,0.0069,-0.0702,-0.0331,0.0546,-0.0058
281.402,0.0222,0.0075,-0.0707,-0.0331,0.0553,-0.0054
284.011,0.0231,0.0081,-0.0712,-0.0331,0.0561,-0.0049
286.644,0.0239,0.0088,-0.0716,-0.0330,0.0569,-0.0045
289.301,0.0248,0.0094,-0.0721,-0.0329,0.0577,-0.0040
291.984,0.0257,0.0101,-0.0726,-0.0328,0.0586,-0.0035
294.691,0.0267,0.0109,-0.0731,-0.0327,0.0594,-0.0029
297.423,0.0277,0.0116,-0.0736,-0.0326,0.0603,-0.0023
300.181,0.0287,0.0124,-0.0740,-0.0325,0.0612,-0.0018
302.964,0.0298,0.0133,-0.0745,-0.0323,0.0621,-0.0011
305.773,0.0309,0.0141,-0.0750,-0.0321,0.0631,-0.0005
308.608,0.0321,0.0150,-0.0754,-0.0319,0.0640,0.0002
311.469,0.0333,0.0160,-0.0759,-0.0317,0.0650,0.0009
314.357,0.0345,0.0170,-0.0763,-0.0315,0.0660,0.0017
317.271,0.0358,0.0180,-0.0767,-0.0312,0.0670,0.0024
320.213,0.0372,0.0190,-0.0771,-0.0309,0.0681,0.0033
323.182,0.0386,0.0201,-0.0775,-0.0306,0.0691,0.0041
326.178,0.0400,0.0213,-0.0779,-0.0302,0.0702,0.0050
329.202,0.0415,0.0225,-0.0783,-0.0298,0.0713,0.0060
332.255,0.0430,0.0237,-0.0786,-0.0294,0.0724,0.0070
335.335,0.0446,0.0250,-0.0790,-0.0289,0.0736,0.0080
338.444,0.0463,0.0264,-0.0793,-0.0285,0.0748,0.0091
341.582,0.0480,0.0278,-0.0796,-0.0279,0.0760,0.0102
344.749,0.0498,0.0293,-0.0798,-0.0274,0.0772,0.0114
347.945,0.0517,0.0308,-0.0801,-0.0267,0.0784,0.0126
351.171,0.0536,0.0324,-0.0803,-0.0261,0.0797,0.0139
354.427,0.0556,0.0340,-0.0805,-0.0254,0.0810,0.0153
357.713,0.0577,0.0357,-0.0807,-0.0247,0.0823,0.0167
361.030,0.0598,0.0375,-0.0808,-0.0239,0.0837,0.0182
364.377,0.0620,0.0394,-0.0809,-0.0230,0.0851,0.0197
367.755,0.0644,0.0413,-0.0809,-0.0221,0.0865,0.0213
371.165,0.0667,0.0433,-0.0810,-0.0212,0.0879,0.0230
374.606,0.0692,0.0454,-0.0809,-0.0201,0.0894,0.0248
378.079,0.0718,0.0476,-0.0809,-0.0191,0.0909,0.0266
381.585,0.0745,0.0499,-0.0808,-0.0179,0.0924,0.0285
385.123,0.0772,0.0522,-0.0806,-0.0167,0.0939,0.0305
388.693,0.0801,0.0547,-0.0804,-0.0154,0.0955,0.0326
392.297,0.0831,0.0572,-0.0802,-0.0140,0.0971,0.0348
395.934,0.0861,0.0598,-0.0799,-0.0126,0.0987,0.0370
399.605,0.0893,0.0626,-0.0795,-0.0111,0.1004,0.0394
403.310,0.0926,0.0654,-0.0790,-0.0095,0.1021,0.0419
407.050,0.0961,0.0684,-0.0785,-0.0078,0.1038,0.0444
410.823,0.0996,0.0715,-0.0780,-0.0060,0.1056,0.0471
414.632,0.1033,0.0747,-0.0773,-0.0041,0.1074,0.0499
418.477,0.1071,0.0780,-0.0766,-0.0022,0.1092,0.0528
422.357,0.1110,0.0815,-0.0758,-0.0001,0.1111,0.0558
426.272,0.1151,0.0850,-0.0749,0.0021,0.1130,0.0590
430.225,0.1194,0.0888,-0.0739,0.0044,0.1149,0.0623
434.214,0.1238,0.0926,-0.0729,0.0069,0.1169,0.0657
438.239,0.1283,0.0966,-0.0717,0.0094,0.1189,0.0693
442.302,0.1330,0.1008,-0.0704,0.0121,0.1210,0.0730
446.403,0.1379,0.1051,-0.0691,0.0149,0.1230,0.0768
450.542,0.1430,0.1096,-0.0676,0.0178,0.1252,0.0809
454.719,0.1482,0.1143,-0.0660,0.0209,0.1273,0.0850
458.935,0.1536,0.1192,-0.0643,0.0241,0.1295,0.0894
463.190,0.1593,0.1242,-0.0624,0.0275,0.1317,0.0939
467.485,0.1651,0.1294,-0.0604,0.0311,0.1340,0.0986
471.819,0.1711,0.1348,-0.0583,0.0348,0.1363,0.1035
476.194,0.1773,0.1404,-0.0560,0.0387,0.1387,0.1086
480.609,0.1838,0.1462,-0.0536,0.0428,0.1410,0.1139
485.065,0.1905,0.1523,-0.0510,0.0470,0.1435,0.1193
489.562,0.1974,0.1585,-0.0483,0.0515,0.1459,0.1250
494.101,0.2046,0.1650,-0.0454,0.0561,0.1485,0.1310
498.682,0.2120,0.1718,-0.0423,0.0610,0.1510,0.1371
503.305,0.2196,0.1787,-0.0390,0.0660,0.1536,0.1435
507.972,0.2276,0.1860,-0.0356,0.0713,0.1563,0.1502
512.681,0.2358,0.1935,-0.0319,0.0769,0.1589,0.1571
517.435,0.2443,0.2012,-0.0280,0.0826,0.1617,0.1642
522.232,0.2531,0.2093,-0.0239,0.0886,0.1644,0.1716
527.074,0.2622,0.2176,-0.0196,0.0949,0.1673,0.1793
531.961,0.2716,0.2263,-0.0150,0.1014,0.1701,0.1873
536.893,0.2813,0.2352,-0.0103,0.1083,0.1730,0.1956
541.871,0.2913,0.2445,-0.0052,0.1154,0.1760,0.2042
546.895,0.3017,0.2540,0.0001,0.1227,0.1790,0.2131
551.965,0.3125,0.2640,0.0057,0.1304,0.1820,0.2224
557.083,0.3235,0.2742,0.0115,0.1384,0.1851,0.2320
562.248,0.3350,0.2849,0.0177,0.1468,0.1883,0.2419
567.461,0.3469,0.2959,0.0241,0.1554,0.1914,0.2522
572.722,0.3591,0.3072,0.0308,0.1644,0.1947,0.2628
578.032,0.3717,0.3190,0.0379,0.1738,0.1980,0.2739
583.391,0.3848,0.3312,0.0453,0.1835,0.2013,0.2853
588.800,0.3983,0.3437,0.0530,0.1936,0.2047,0.2971
594.259,0.4122,0.3567,0.0611,0.2041,0.2081,0.3094
599.769,0.4266,0.3702,0.0696,0.2150,0.2116,0.3220
605.330,0.4414,0.3841,0.0784,0.2263,0.2151,0.3351
610.942,0.4567,0.3984,0.0876,0.2380,0.2187,0.3487
616.606,0.4725,0.4132,0.0973,0.2501,0.2223,0.3627
622.323,0.4887,0.4285,0.1073,0.2627,0.2260,0.3772
628.093,0.5055,0.4443,0.1177,0.2758,0.2297,0.3922
633.916,0.5228,0.4606,0.1286,0.2893,0.2335,0.4076
639.794,0.5407,0.4774,0.1400,0.3033,0.2373,0.4236
645.726,0.5590,0.4948,0.1517,0.3178,0.2412,0.4401
651.712,0.5780,0.5127,0.1640,0.3328,0.2451,0.4571
657.755,0.5975,0.5311,0.1767,0.3484,0.2491,0.4747
663.853,0.6176,0.5501,0.1900,0.3644,0.2531,0.4928
670.008,0.6383,0.5697,0.2037,0.3810,0.2572,0.5116
676.220,0.6595,0.5899,0.2180,0.3982,0.2613,0.5308
682.490,0.6815,0.6107,0.2328,0.4159,0.2655,0.5507
688.817,0.7040,0.6321,0.2481,0.4342,0.2697,0.5712
695.204,0.7272,0.6541,0.2640,0.4532,0.2740,0.5923
701.649,0.7510,0.6768,0.2805,0.4727,0.2783,0.6141
708.155,0.7755,0.7001,0.2975,0.4928,0.2827,0.6364
714.720,0.8007,0.7241,0.3152,0.5135,0.2871,0.6595
721.347,0.8265,0.7488,0.3334,0.5349,0.2916,0.6832
728.035,0.8531,0.7741,0.3522,0.5570,0.2961,0.7075
734.785,0.8803,0.8001,0.3717,0.5796,0.3007,0.7326
741.598,0.9083,0.8269,0.3918,0.6030,0.3053,0.7583
748.473,0.9370,0.8543,0.4126,0.6270,0.3099,0.7848
755.413,0.9664,0.8825,0.4340,0.6518,0.3146,0.8119
762.417,0.9965,0.9114,0.4560,0.6772,0.3194,0.8398
769.485,1.0275,0.9410,0.4787,0.7033,0.3242,0.8684
776.620,1.0591,0.9713,0.5021,0.7301,0.3290,0.8977
783.820,1.0915,1.0024,0.5262,0.7576,0.3339,0.9278
791.087,1.1247,1.0343,0.5509,0.7859,0.3388,0.9586
798.422,1.1586,1.0669,0.5764,0.8149,0.3438,0.9902
805.824,1.1934,1.1003,0.6025,0.8446,0.3488,1.0225
813.296,1.2288,1.1344,0.6293,0.8750,0.3538,1.0555
820.836,1.2651,1.1693,0.6569,0.9061,0.3589,1.0893
828.446,1.3021,1.2049,0.6851,0.9380,0.3641,1.1239
836.127,1.3399,1.2414,0.7140,0.9707,0.3693,1.1592
843.880,1.3785,1.2785,0.7436,1.0040,0.3745,1.1953
851.704,1.4179,1.3165,0.7740,1.0381,0.3798,1.2321
859.600,1.4580,1.3551,0.8050,1.0729,0.3851,1.2697
867.570,1.4988,1.3946,0.8367,1.1084,0.3904,1.3080
875.614,1.5405,1.4347,0.8691,1.1447,0.3958,1.3471
883.732,1.5828,1.4756,0.9021,1.1816,0.4012,1.3868
891.926,1.6259,1.5173,0.9358,1.2192,0.4067,1.4273
900.195,1.6698,1.5596,0.9702,1.2575,0.4122,1.4685
908.541,1.7143,1.6026,1.0052,1.2965,0.4178,1.5104
916.965,1.7596,1.6464,1.0409,1.3362,0.4234,1.5530
925.466,1.8055,1.6908,1.0771,1.3765,0.4290,1.5963
934.047,1.8521,1.7359,1.1140,1.4174,0.4347,1.6402
942.707,1.8994,1.7816,1.1514,1.4590,0.4404,1.6847
951.447,1.9473,1.8279,1.1894,1.5011,0.4462,1.7299
960.269,1.9958,1.8749,1.2279,1.5438,0.4520,1.7757
969.172,2.0449,1.9224,1.2670,1.5871,0.4578,1.8220
978.157,2.0946,1.9705,1.3065,1.6309,0.4637,1.8689
987.226,2.1448,2.0191,1.3466,1.6752,0.4697,1.9163
996.380,2.1956,2.0682,1.3870,1.7200,0.4756,1.9643
1005.617,2.2469,2.1179,1.4279,1.7652,0.4817,2.0127
1014.941,2.2986,2.1679,1.4692,1.8108,0.4878,2.0616
1024.351,2.3508,2.2185,1.5108,1.8569,0.4939,2.1109
1033.848,2.4034,2.2694,1.5527,1.9033,0.5001,2.1605
1043.434,2.4564,2.3206,1.5950,1.9501,0.5063,2.2106
1053.108,2.5097,2.3723,1.6374,1.9971,0.5126,2.2610
1062.872,2.5634,2.4242,1.6802,2.0444,0.5190,2.3116
1072.726,2.6173,2.4764,1.7230,2.0919,0.5254,2.3626
1082.672,2.6715,2.5288,1.7661,2.1397,0.5319,2.4137
1092.710,2.7260,2.5814,1.8092,2.1876,0.5384,2.4651
1102.841,2.7806,2.6342,1.8524,2.2356,0.5450,2.5166
1113.066,2.8353,2.6872,1.8957,2.2837,0.5517,2.5683
1123.386,2.8902,2.7402,1.9389,2.3318,0.5584,2.6200
1133.801,2.9452,2.7933,1.9821,2.3800,0.5652,2.6718
1144.314,3.0002,2.8464,2.0252,2.4281,0.5721,2.7235
1154.923,3.0552,2.8995,2.0682,2.4761,0.5791,2.7753
1165.631,3.1102,2.9525,2.1109,2.5240,0.5862,2.8270
1176.438,3.1651,3.0054,2.1535,2.5718,0.5933,2.8786
1187.345,3.2199,3.0583,2.1958,2.6194,0.6005,2.9300
1198.354,3.2746,3.1109,2.2378,2.6667,0.6079,2.9813
1209.464,3.3291,3.1633,2.2795,2.7138,0.6153,3.0323
1220.678,3.3834,3.2155,2.3207,2.7606,0.6228,3.0831
1231.996,3.4374,3.2675,2.3616,2.8070,0.6304,3.1336
1243.418,3.4912,3.3191,2.4019,2.8530,0.6382,3.1838
1254.946,3.5447,3.3705,nan,nan,nan,nan
1266.582,3.5978,3.4223,nan,nan,nan,nan
1278.325,3.6505,3.4747,nan,nan,nan,nan
1290.177,3.7029,3.5277,nan,nan,nan,nan
1302.139,3.7548,3.5813,nan,nan,nan,nan
1314.212,3.8062,3.6355,nan,nan,nan,nan
1326.396,3.8572,3.6901,nan,nan,nan,nan
1338.694,3.9076,3.7453,nan,nan,nan,nan
1351.106,3.9575,3.8009,nan,nan,nan,nan
1363.632,4.0068,3.8569,nan,nan,nan,nan
1376.275,4.0556,3.9133,nan,nan,nan,nan
1389.036,4.1037,3.9701,nan,nan,nan,nan
1401.914,4.1512,4.0271,nan,nan,nan,nan
1414.912,4.1981,4.0843,nan,nan,nan,nan
1428.030,4.2442,4.1418,nan,nan,nan,nan
1441.270,4.2897,4.1993,nan,nan,nan,nan
1454.633,4.3345,4.2569,nan,nan,nan,nan
1468.120,4.3786,4.3146,nan,nan,nan,nan
1481.731,4.4220,4.3722,nan,nan,nan,nan
