freq_Hz,on_axis_dB,listening_window_dB,early_reflections_dB,sound_power_dB,DI_dB,PIR_dB
1495.469,4.4647,4.4299,nan,nan,nan,nan
1509.335,4.5066,4.4874,nan,nan,nan,nan
1523.328,4.5477,4.5449,nan,nan,nan,nan
1537.452,4.5881,4.6022,nan,nan,nan,nan
1551.706,4.6277,4.6595,nan,nan,nan,nan
1566.093,4.6666,4.7167,nan,nan,nan,nan
1580.613,4.7047,4.7738,nan,nan,nan,nan
1595.268,4.7420,4.8309,nan,nan,nan,nan
1610.058,4.7785,4.8880,nan,nan,nan,nan
1624.986,4.8143,4.9450,nan,nan,nan,nan
1640.052,4.8493,5.0022,nan,nan,nan,nan
1655.258,4.8835,5.0594,nan,nan,nan,nan
1670.605,4.9170,5.1168,nan,nan,nan,nan
1686.094,4.9497,5.1743,nan,nan,nan,nan
1701.726,4.9816,5.2321,nan,nan,nan,nan
1717.504,5.0128,5.2899,nan,nan,nan,nan
1733.428,5.0432,5.3479,nan,nan,nan,nan
1749.499,5.0729,5.4060,nan,nan,nan,nan
1765.720,5.1019,5.4640,nan,nan,nan,nan
1782.091,5.1301,5.5218,nan,nan,nan,nan
1798.613,5.1576,5.5792,nan,nan,nan,nan
1815.289,5.1844,5.6359,nan,nan,nan,nan
1832.120,5.2105,5.6917,nan,nan,nan,nan
1849.106,5.2359,5.7462,nan,nan,nan,nan
1866.250,5.2607,5.7990,nan,nan,nan,nan
1883.553,5.2848,5.8495,nan,nan,nan,nan
1901.017,5.3082,5.8972,nan,nan,nan,nan
1918.642,5.3309,5.9416,nan,nan,nan,nan
1936.431,5.3531,5.9819,nan,nan,nan,nan
1954.384,5.3746,6.0176,nan,nan,nan,nan
1972.504,5.3955,6.0479,nan,nan,nan,nan
1990.792,5.4158,6.0720,nan,nan,nan,nan
2009.250,5.4355,6.0901,nan,nan,nan,nan
2027.879,5.4547,6.1067,nan,nan,nan,nan
2046.680,5.4733,6.1226,nan,nan,nan,nan
2065.656,5.4913,6.1378,nan,nan,nan,nan
2084.808,5.5088,6.1522,nan,nan,nan,nan
2104.137,5.5258,6.1660,nan,nan,nan,nan
2123.646,5.5422,6.1790,nan,nan,nan,nan
2143.335,5.5582,6.1914,nan,nan,nan,nan
2163.207,5.5737,6.2032,nan,nan,nan,nan
2183.263,5.5887,6.2143,nan,nan,nan,nan
2203.506,5.6032,6.2247,nan,nan,nan,nan
2223.935,5.6173,6.2346,nan,nan,nan,nan
2244.555,5.6309,6.2438,nan,nan,nan,nan
2265.365,5.6441,6.2525,nan,nan,nan,nan
2286.369,5.6569,6.2605,nan,nan,nan,nan
2307.567,5.6693,6.2680,nan,nan,nan,nan
2328.961,5.6813,6.2749,nan,nan,nan,nan
2350.554,5.6929,6.2812,nan,nan,nan,nan
2372.347,5.7041,6.2870,nan,nan,nan,nan
2394.343,5.7150,6.2923,nan,nan,nan,nan
2416.542,5.7255,6.2971,nan,nan,nan,nan
2438.947,5.7357,6.3013,nan,nan,nan,nan
2461.560,5.7455,6.3050,nan,nan,nan,nan
2484.382,5.7550,6.3082,nan,nan,nan,nan
2507.416,5.7642,6.3110,nan,nan,nan,nan
2530.664,5.7731,6.3132,nan,nan,nan,nan
2554.127,5.7817,6.3150,nan,nan,nan,nan
2577.807,5.7900,6.3163,nan,nan,nan,nan
2601.707,5.7981,6.3172,nan,nan,nan,nan
2625.829,5.8058,6.3176,nan,nan,nan,nan
2650.175,5.8133,6.3176,nan,nan,nan,nan
2674.746,5.8206,6.3171,nan,nan,nan,nan
2699.545,5.8276,6.3162,nan,nan,nan,nan
2724.574,5.8344,6.3149,nan,nan,nan,nan
2749.834,5.8409,6.3132,nan,nan,nan,nan
2775.330,5.8472,6.3111,nan,nan,nan,nan
2801.061,5.8533,6.3085,nan,nan,nan,nan
2827.031,5.8592,6.3056,nan,nan,nan,nan
2853.242,5.8649,6.3022,nan,nan,nan,nan
2879.696,5.8704,6.2985,nan,nan,nan,nan
2906.395,5.8757,6.2944,nan,nan,nan,nan
2933.342,5.8808,6.2899,nan,nan,nan,nan
2960.538,5.8858,6.2850,nan,nan,nan,nan
2987.987,5.8906,6.2798,nan,nan,nan,nan
3015.690,5.8952,6.2742,nan,nan,nan,nan
3043.650,5.8996,6.2682,nan,nan,nan,nan
3071.869,5.9039,6.2619,nan,nan,nan,nan
3100.350,5.9081,6.2552,nan,nan,nan,nan
3129.095,5.9121,6.2481,nan,nan,nan,nan
3158.107,5.9159,6.2407,nan,nan,nan,nan
3187.387,5.9197,6.2330,nan,nan,nan,nan
3216.939,5.9233,6.2249,nan,nan,nan,nan
3246.765,5.9267,6.2164,nan,nan,nan,nan
3276.867,5.9301,6.2077,nan,nan,nan,nan
3307.249,5.9333,6.1985,nan,nan,nan,nan
3337.912,5.9364,6.1891,nan,nan,nan,nan
3368.860,5.9394,6.1793,nan,nan,nan,nan
3400.094,5.9423,6.1691,nan,nan,nan,nan
3431.618,5.9451,6.1586,nan,nan,nan,nan
3463.434,5.9478,6.1478,nan,nan,nan,nan
3495.546,5.9504,6.1367,nan,nan,nan,nan
3527.955,5.9530,6.1252,nan,nan,nan,nan
3560.664,5.9554,6.1134,nan,nan,nan,nan
3593.677,5.9577,6.1013,nan,nan,nan,nan
3626.996,5.9600,6.0888,nan,nan,nan,nan
3660.623,5.9621,6.0760,nan,nan,nan,nan
3694.563,5.9642,6.0629,nan,nan,nan,nan
3728.817,5.9663,6.0495,nan,nan,nan,nan
3763.389,5.9682,6.0357,nan,nan,nan,nan
3798.281,5.9701,6.0216,nan,nan,nan,nan
3833.497,5.9719,6.0071,nan,nan,nan,nan
3869.039,5.9737,5.9924,nan,nan,nan,nan
3904.911,5.9754,5.9773,nan,nan,nan,nan
3941.116,5.9770,5.9619,nan,nan,nan,nan
3977.656,5.9786,5.9461,nan,nan,nan,nan
4014.535,5.9801,5.9300,nan,nan,nan,nan
4051.755,5.9815,5.9136,nan,nan,nan,nan
4089.321,5.9829,5.8969,nan,nan,nan,nan
4127.236,5.9843,5.8798,nan,nan,nan,nan
4165.501,5.9856,5.8624,nan,nan,nan,nan
4204.122,5.9869,5.8447,nan,nan,nan,nan
4243.100,5.9881,5.8266,nan,nan,nan,nan
4282.440,5.9892,5.8082,nan,nan,nan,nan
4322.145,5.9904,5.7895,nan,nan,nan,nan
4362.218,5.9915,5.7705,nan,nan,nan,nan
4402.662,5.9925,5.7511,nan,nan,nan,nan
4443.482,5.9935,5.7313,nan,nan,nan,nan
4484.679,5.9945,5.7113,nan,nan,nan,nan
4526.259,5.9954,5.6909,nan,nan,nan,nan
4568.224,5.9964,5.6702,nan,nan,nan,nan
4610.579,5.9972,5.6491,nan,nan,nan,nan
4653.326,5.9981,5.6277,nan,nan,nan,nan
4696.469,5.9989,5.6059,nan,nan,nan,nan
4740.013,5.9997,5.5839,nan,nan,nan,nan
4783.960,6.0004,5.5615,nan,nan,nan,nan
4828.314,6.0012,5.5387,nan,nan,nan,nan
4873.080,6.0019,5.5156,nan,nan,nan,nan
4918.261,6.0025,5.4922,nan,nan,nan,nan
4963.861,6.0032,5.4685,nan,nan,nan,nan
5009.883,6.0038,5.4444,nan,nan,nan,nan
5056.332,6.0044,5.4200,nan,nan,nan,nan
5103.212,6.0050,5.3952,nan,nan,nan,nan
5150.527,6.0056,5.3701,nan,nan,nan,nan
5198.280,6.0061,5.3447,nan,nan,nan,nan
5246.476,6.0066,5.3190,nan,nan,nan,nan
5295.119,6.0071,5.2929,nan,nan,nan,nan
5344.212,6.0076,5.2665,nan,nan,nan,nan
5393.761,6.0081,5.2398,nan,nan,nan,nan
5443.770,6.0086,5.2128,nan,nan,nan,nan
5494.242,6.0090,5.1854,nan,nan,nan,nan
5545.182,6.0094,5.1577,nan,nan,nan,nan
5596.594,6.0098,5.1297,nan,nan,nan,nan
5648.483,6.0102,5.1014,nan,nan,nan,nan
5700.853,6.0106,5.0728,nan,nan,nan,nan
5753.708,6.0109,5.0439,nan,nan,nan,nan
5807.054,6.0113,5.0147,nan,nan,nan,nan
5860.894,6.0116,4.9852,nan,nan,nan,nan
5915.233,6.0120,4.9554,nan,nan,nan,nan
5970.076,6.0123,4.9253,nan,nan,nan,nan
6025.428,6.0126,4.8949,nan,nan,nan,nan
6081.293,6.0129,4.8643,nan,nan,nan,nan
6137.676,6.0131,4.8333,nan,nan,nan,nan
6194.581,6.0134,4.8022,nan,nan,nan,nan
6252.014,6.0137,4.7707,nan,nan,nan,nan
6309.980,6.0139,4.7390,nan,nan,nan,nan
6368.483,6.0142,4.7071,nan,nan,nan,nan
6427.529,6.0144,4.6750,nan,nan,nan,nan
6487.122,6.0146,4.6426,nan,nan,nan,nan
6547.267,6.0148,4.6100,nan,nan,nan,nan
6607.970,6.0150,4.5771,nan,nan,nan,nan
6669.236,6.0152,4.5441,nan,nan,nan,nan
6731.070,6.0154,4.5109,nan,nan,nan,nan
6793.477,6.0156,4.4776,nan,nan,nan,nan
6856.463,6.0158,4.4440,nan,nan,nan,nan
6920.033,6.0160,4.4103,nan,nan,nan,nan
6984.192,6.0161,4.3765,nan,nan,nan,nan
7048.946,6.0163,4.3425,nan,nan,nan,nan
7114.300,6.0165,4.3084,nan,nan,nan,nan
7180.261,6.0166,4.2742,nan,nan,nan,nan
7246.833,6.0168,4.2596,nan,nan,nan,nan
7314.022,6.0169,4.2512,nan,nan,nan,nan
7381.834,6.0170,4.2422,nan,nan,nan,nan
7450.275,6.0172,4.2328,nan,nan,nan,nan
7519.350,6.0173,4.2229,nan,nan,nan,nan
7589.066,6.0174,4.2125,nan,nan,nan,nan
7659.428,6.0175,4.2016,nan,nan,nan,nan
7730.442,6.0176,4.1901,nan,nan,nan,nan
7802.115,6.0177,4.1782,nan,nan,nan,nan
7874.453,6.0178,4.1657,nan,nan,nan,nan
7947.461,6.0179,4.1527,nan,nan,nan,nan
8021.146,6.0180,4.1391,nan,nan,nan,nan
8095.514,6.0181,4.1250,nan,nan,nan,nan
8170.572,6.0182,4.1102,nan,nan,nan,nan
8246.325,6.0183,4.0949,nan,nan,nan,nan
8322.781,6.0184,4.0791,nan,nan,nan,nan
8399.946,6.0185,4.0626,nan,nan,nan,nan
8477.826,6.0185,4.0455,nan,nan,nan,nan
8556.428,6.0186,4.0278,nan,nan,nan,nan
8635.759,6.0187,4.0095,nan,nan,nan,nan
8715.826,6.0188,3.9906,nan,nan,nan,nan
8796.635,6.0188,3.9710,nan,nan,nan,nan
8878.193,6.0189,3.9508,nan,nan,nan,nan
8960.507,6.0190,3.9299,nan,nan,nan,nan
9043.585,6.0190,3.9085,nan,nan,nan,nan
9127.433,6.0191,3.8863,nan,nan,nan,nan
9212.058,6.0191,3.8636,nan,nan,nan,nan
9297.467,6.0192,3.8402,nan,nan,nan,nan
9383.669,6.0192,3.8161,nan,nan,nan,nan
9470.670,6.0193,3.7914,nan,nan,nan,nan
9558.477,6.0193,3.7660,nan,nan,nan,nan
9647.099,6.0194,3.7400,nan,nan,nan,nan
9736.542,6.0194,3.7134,nan,nan,nan,nan
9826.815,6.0195,3.6862,nan,nan,nan,nan
9917.924,6.0195,3.6583,nan,nan,nan,nan
10009.878,6.0195,3.6298,nan,nan,nan,nan
10102.685,6.0196,3.6007,nan,nan,nan,nan
10196.352,6.0196,3.5710,nan,nan,nan,nan
10290.888,6.0197,3.5407,nan,nan,nan,nan
10386.300,6.0197,3.5099,nan,nan,nan,nan
10482.597,6.0197,3.4785,nan,nan,nan,nan
10579.786,6.0198,3.4640,nan,nan,nan,nan
10677.877,6.0198,3.4600,nan,nan,nan,nan
10776.877,6.0198,3.4550,nan,nan,nan,nan
10876.795,6.0198,3.4491,nan,nan,nan,nan
10977.639,6.0199,3.4423,nan,nan,nan,nan
11079.419,6.0199,3.4345,nan,nan,nan,nan
11182.142,6.0199,3.4258,nan,nan,nan,nan
11285.817,6.0199,3.4162,nan,nan,nan,nan
11390.454,6.0200,3.4056,nan,nan,nan,nan
11496.060,6.0200,3.3942,nan,nan,nan,nan
11602.646,6.0200,3.3818,nan,nan,nan,nan
11710.220,6.0200,3.3686,nan,nan,nan,nan
11818.792,6.0201,3.3545,nan,nan,nan,nan
11928.370,6.0201,3.3395,nan,nan,nan,nan
12038.964,6.0201,3.3237,nan,nan,nan,nan
12150.583,6.0201,3.3070,nan,nan,nan,nan
12263.238,6.0201,3.2896,nan,nan,nan,nan
12376.936,6.0201,3.2714,nan,nan,nan,nan
12491.689,6.0202,3.2524,nan,nan,nan,nan
12607.506,6.0202,3.2327,nan,nan,nan,nan
12724.397,6.0202,3.2123,nan,nan,nan,nan
12842.371,6.0202,3.1912,nan,nan,nan,nan
12961.440,6.0202,3.1694,nan,nan,nan,nan
13081.612,6.0202,3.1471,nan,nan,nan,nan
13202.898,6.0203,3.1290,nan,nan,nan,nan
13325.309,6.0203,3.1276,nan,nan,nan,nan
13448.855,6.0203,3.1252,nan,nan,nan,nan
13573.546,6.0203,3.1218,nan,nan,nan,nan
13699.393,6.0203,3.1174,nan,nan,nan,nan
13826.408,6.0203,3.1119,nan,nan,nan,nan
13954.599,6.0203,3.1052,nan,nan,nan,nan
14083.980,6.0203,3.0973,nan,nan,nan,nan
14214.559,6.0203,3.0882,nan,nan,nan,nan
14346.350,6.0203,3.0779,nan,nan,nan,nan
14479.362,6.0204,3.0662,nan,nan,nan,nan
14613.608,6.0204,3.0533,nan,nan,nan,nan
14749.098,6.0204,3.0389,nan,nan,nan,nan
14885.845,6.0204,3.0232,nan,nan,nan,nan
15023.859,6.0204,3.0061,nan,nan,nan,nan
15163.153,6.0204,2.9876,nan,nan,nan,nan
15303.738,6.0204,2.9676,nan,nan,nan,nan
15445.627,6.0204,2.9462,nan,nan,nan,nan
15588.832,6.0204,2.9234,nan,nan,nan,nan
15733.364,6.0204,2.8991,nan,nan,nan,nan
15879.236,6.0204,2.8733,nan,nan,nan,nan
16026.460,6.0204,2.8461,nan,nan,nan,nan
16175.050,6.0204,2.8176,nan,nan,nan,nan
16325.017,6.0205,2.7876,nan,nan,nan,nan
16476.375,6.0205,2.7563,nan,nan,nan,nan
16629.136,6.0205,2.7237,nan,nan,nan,nan
16783.313,6.0205,2.6898,nan,nan,nan,nan
16938.920,6.0205,2.6547,nan,nan,nan,nan
17095.969,6.0205,2.6184,nan,nan,nan,nan
17254.475,6.0205,2.5811,nan,nan,nan,nan
17414.450,6.0205,2.5427,nan,nan,nan,nan
17575.908,6.0205,2.5035,nan,nan,nan,nan
17738.863,6.0205,2.4634,nan,nan,nan,nan
17903.329,6.0205,2.4226,nan,nan,nan,nan
18069.320,6.0205,2.3812,nan,nan,nan,nan
18236.850,6.0205,2.3393,nan,nan,nan,nan
18405.934,6.0205,2.2970,nan,nan,nan,nan
18576.585,6.0205,2.2545,nan,nan,nan,nan
18748.818,6.0205,2.2119,nan,nan,nan,nan
18922.648,6.0205,2.1693,nan,nan,nan,nan
19098.089,6.0205,2.1270,nan,nan,nan,nan
19275.157,6.0205,2.1063,nan,nan,nan,nan
19453.867,6.0205,2.1101,nan,nan,nan,nan
19634.234,6.0205,2.1134,nan,nan,nan,nan
19816.273,6.0205,2.1162,nan,nan,nan,nan
20000.000,6.0205,2.1183,nan,nan,nan,nan
